Selected Underlying Medical Conditions of COVID-19-Associated Hospitalizations (data downloaded on 5/28/2020)
YEAR,MEDICAL CONDITION,CHILDREN-COUNT,CHILDREN-PERCENT(%),ADULTS-COUNT,ADULTS-PERCENT(%),FEMALES (15-44 YR)-COUNT,FEMALES (15-44 YR)-PERCENT(%)
2020,Asthma,9,27.3,510,12.3,N/A,N/A
2020,Cardiovascular disease,1,3.1,1471,35.4,N/A,N/A
2020,Chronic lung disease,N/A,N/A,924,22.2,N/A,N/A
2020,Immune suppression,N/A,N/A,435,10.5,N/A,N/A
2020,Metabolic disease,1,3.1,1775,42.6,N/A,N/A
2020,Neurologic disease,3,9.4,958,23.1,N/A,N/A
2020,Other disease,5,13.9,232,5.5,N/A,N/A
2020,No known condition,16,39.0,336,7.9,N/A,N/A
2020,Autoimmune disease ,N/A,N/A,122,2.9,N/A,N/A
2020,Obesity,9,50.0,1935,49.5,N/A,N/A
2020,Pregnancy,N/A,N/A,N/A,N/A,86,16.5
2020,Renal disease,N/A,N/A,668,16.1,N/A,N/A
2020,Gastrointestinal/liver disease,1,3.1,208,5.0,N/A,N/A
2020,Hypertension,2,5.6,2473,58.6,N/A,N/A
