COVID-Associated Hospitalizations Percent (data downloaded on 5/28/2020)
YEAR,WEEK_NUMBER,0-4 YR,5-17 YR,18-49 YR,50-64 YR,65+ YR
2020,2020-10,0.0,0.0,29.3,12.2,58.5
2020,2020-11,0.0,0.0,23.6,34.9,41.5
2020,2020-12,0.0,0.4,26.3,30.6,42.6
2020,2020-13,0.3,0.2,25.4,31.9,42.2
2020,2020-14,0.3,0.3,20.7,33.0,45.6
2020,2020-15,0.3,0.3,20.6,30.6,48.1
2020,2020-16,0.4,0.2,22.8,28.8,47.7
2020,2020-17,0.3,0.5,24.9,26.4,47.9
2020,2020-18,0.3,0.6,25.6,28.0,45.5
2020,2020-19,0.3,0.8,28.2,29.3,41.4
2020,2020-20,0.4,0.6,28.7,29.5,40.9
2020,2020-21,0.0,0.0,0.0,0.0,0.0
2020,2020-22,0.0,0.0,0.0,0.0,0.0
